name,price,location,sold,link,date
ASUS VIVOBOOK FLIP TM420IA EC551TS RYZEN 5 4500U 8GB 512SSD W10 OHS 19,11.889.000,Jakarta Pusat,1,https://www.tokopedia.com/trustitstore/asus-vivobook-flip-tm420ia-ec551ts-ryzen-5-4500u-8gb-512ssd-w10-ohs-19?whid=0,28-01-2021
ASUS VIVOBOOK K413FA i3 8GB/512GB WIN-10,9.550.000,Kab. Bogor,1,https://www.tokopedia.com/ahmadojik/asus-vivobook-k413fa-i3-8gb-512gb-win-10?whid=0,28-01-2021
Asus vivobook S330Fa i3 8145 U 4gb 256gb w10,10.000.000,Jakarta Utara,4,https://www.tokopedia.com/prodicom/asus-vivobook-s330fa-i3-8145-u-4gb-256gb-w10-abu-abu?whid=0,28-01-2021
asus vivobook TM420iA ryzen 3 touch screen,9.990.000,Semarang,1,https://www.tokopedia.com/dunialaptop/asus-vivobook-tm420ia-ryzen-3-touch-screen?whid=0,28-01-2021
"Asus Vivobook 14 K413FQ i5 10210 8GB 512 SSD MX350 2GB 14""FHD WIN 10",11.799.000,Jakarta Pusat,4,https://www.tokopedia.com/vjnotebook/asus-vivobook-14-k413fq-i5-10210-8gb-512-ssd-mx350-2gb-14-fhd-win-10?whid=0,28-01-2021
Asus Vivobook TP412FA 2in1 Touch i5 10210 8GB 512ssd W10 14.0FHD,11.599.000,Jakarta Selatan,2,https://www.tokopedia.com/musafirtech/asus-vivobook-tp412fa-2in1-touch-i5-10210-8gb-512ssd-w10-14-0fhd?whid=0,28-01-2021
LAPTOP ASUS VIVOBOOK A409JA BV321TS Core i3-1005G1-1TB-4GB OHS W10 Ori,7.500.000,Jakarta Pusat,8,https://www.tokopedia.com/bakesfield-com/laptop-asus-vivobook-a409ja-bv321ts-core-i3-1005g1-1tb-4gb-ohs-w10-ori-grey?whid=0,28-01-2021
Asus Vivobook A409JA EK352TSFHD I3-1005G1 4GB 512GB SSD FHD WIN10 OHS,7.790.000,Jakarta Pusat,1,https://www.tokopedia.com/gerai-57/asus-vivobook-a409ja-ek352tsfhd-i3-1005g1-4gb-512gb-ssd-fhd-win10-ohs?whid=0,28-01-2021
"Laptop Asus Vivobook A416JA BV311TS i3 1005G1 4GB 1TB W10+OHS 14"" - Grey, Non Bundling",7.269.000,Jakarta Pusat,28,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AUOH_Ha6_yDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosJh6AJpo_Hpbm-srcHi6seFHmFiy3zwrfo5rM1i6sJaoprX6Ayabm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-H1hkZ_CoucWE_BzzoJOEgpoozcDa_7o-r7BWPchB3czfyfOZgMHa_SgsQuu2_fB-P7B2PfBiQ_BO3_-uq1Y2ZMOvucD7_32uP7Y_HACguJJa_VzZq1Oku9zvzJ1a_9jF81Y1zMxgucDF3jzuP7NEqfBHe72fyfODQMV9o3gqzOgR3A-Dq7BkQfBoe7BpZ37N83V9gICiQABRyf7Nqfz9_sCyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D692xzpBR3A-Dq7BkQfBoe7BpZ3NcHu2yZsuyHO-t3sooq1Y2ZSooH_xE_OzS83gU8IooQ9xfgAod6c-JzSoiHfedgjP78B29gAxMzjNc1snhzBzD1MgZu_uUuRBjqcHpuS2-ZV2Fgc7Nq3Ua69-GH_Jdgjx6Hc-y8AxuHVgUuVu3_Ogc6121qO-iZs-c8Mzy_3PjQ3Fays-GPMUarfNy17BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjja_Mj781OE19x68Mrp_92V8jN2Z9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBkZ_oo8_zd_1zuH7Y1u9B6qMr7_S2u8jNAZsjibm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6iUpqB-fyfB_rBVf3SPUQfVFy_rRP3WOz7gwu3hZ61zm3jhEr7UNzM4OQuCtHBoXz7PHZB2iPZOvr1V6o9Po_c-WrBxjHAuA_OCf3Mu6_92A97uGZMYZ3SKaQIVf_9CRu1of_juZrjujZ1ORuuuWZOuOgSgdeSBRH7N51OBWy9BveiUDUMVDgaUEUSo7QuY0rfuS9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEoaFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoAeDHpjdHB7DUMNwyfVXgcBjy9zB9fVjraUEoaFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sUfH_jhbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6_KaUiFiHpjdomUDUsHN6AyibmU7HAndUiFiHpyi997?page=8&dv=desktop&is_search=1&management_type=1&src=search&r=https%3A%2F%2Fwww.tokopedia.com%2Fdistrilapid%2Flaptop-asus-vivobook-a416ja-bv311ts-i3-1005g1-4gb-1tb-w10-ohs-14-grey-non-bundling%3Fsrc%3Dtopads&keywords=asus+vivobook&t=desktop&ob=23,28-01-2021
asus vivobook TM420iA ryzen 3 touch screen,9.990.000,Semarang,1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AeRosn7osyDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosJh6AJpo_Hpbm-srcHi6seFHmFiy3zwrfo5rM1i6sJaoAJXH_nRHiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ3Ogo1Y1gRB6uJJO_VzZqJOJ39z6z7BN_BHFoJO1392HuJjO_uPcqJY11MW6uJJp_Oo-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR8BxE__uvzJtdgjPR83-I6_oMZIxp_uPdPMep8AxxH7ND3sod6V1Fujx1uugvujyNzBz0gc-GHjgEgVxogfzWQA-iHj2fys-pQBxy8AxsHO-7gjxduV-ugJNZu_uu3ACD_O-crfNg3JdhyRBmHMVy3SggQ_Bfy9BjgJB2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1Oku_-HqMrp_uzzH1NE__V6zJOR_S2oq1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-81Nku9uoqBuR_Bz-H7Ok__Co8BBN_joG6ZUDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUsok1Sgsquoa19gqP7x5y9CxopPOqRuIzBYuQVUNzJ-q_I2pesBcQpuW1cKa1fNIz7hG3M-Ob1Yhe1dOP7OHyMOa3ceFo1ov1Igqg1No8jowz12GQO-q8A-Dr9gorIPueRg6zu-az3z-_9Puu3Obu9uMPSxm89rp_MY_33Ox81YmUiFiy3hSUstirRzW9fWpg3PwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstRbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7omFp6_Ka9ZFiQBYsy3Njq3zxPcuwy3zpUstRbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHsyao_nDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHN6AUibmUp6_K7UiFiHpjdoiUDUseFHAKibmUpoi-Pwe?page=8&r=https%3A%2F%2Fwww.tokopedia.com%2Fdunialaptop%2Fasus-vivobook-tm420ia-ryzen-3-touch-screen%3Fsrc%3Dtopads&dv=desktop&keywords=asus+vivobook&t=desktop&ob=23&src=search&is_search=1&management_type=2,28-01-2021
"Asus Vivobook S433EQ i5 1135G7 8GB 512ssd MX350 W10+OHS 14""FHD IPS - Red",13.299.000,Jakarta Utara,2,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AJRo_naH_HDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosJh6AJpo_Hpbm-srcHi6sUp6ZFiy3zwrfo5rM1i6sJaHpKXHsndoaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoepeh_jzgHJNJgRPvzcHF_92VHjY113BHe72kgJxGgMHauMxsQ1N5Z325q1O_oIxouJud_uzV8JO1z9xouJud_uzV81B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-QujO_OzS81N1e_uHuV-t_1zgPJNIZ9B61pn7_uzg8jh1Z_uou7gt_OzZq7N1e_ov17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PE3I2oo1YJZsxMzRPNyjrNHfgU8IoouRxfgAod6cJp_MhqHRKdu_C3ZVzuujY3zsBcucWjyjtazS2j3JOSgcODHMUaZSgiHSoX3Vxd6cHp1SzMZIx11Buj_B-uouuyHchv1jgpQBBy_sVs81UayuxqPBBW69gx83zjZ3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_32uH7hkZ_uvzJ7F_uzCH1Y1gRPoucDFZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_32gHJhk392ouJJh_Oz0o1Nk_9x68ju2gBJYvZUDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUsok1Sgsquoa19gqP7x5y9CxopPOqRuIzBYuQVUNzJ-q_I2pesBcQpuW1cKa1fNIz7hG3M-Ob1Yhe1dOP7OHyMOa3ceFo1ov1Igqg1No8jowz12GQO-q8A-Dr9gorIPueRg6zu-az3z-_9Puu3Obu9uMPSxm89rp_MY_33Ox81YmUiFiy3hSUstirRzW9fWpg3PwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstRbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7omFp6_Ka9ZFiQBYsy3Njq3zxPcuwy3zpUstRbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHsHdopUDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHN6AUibmUp6_K7UiFiHpjdoiUDUseFHAKibmUpoi-Pwe?t=desktop&dv=desktop&src=search&page=8&r=https%3A%2F%2Fwww.tokopedia.com%2Fagresid%2Fasus-vivobook-s433eq-i5-1135g7-8gb-512ssd-mx350-w10-ohs-14-fhd-ips-red%3Fsrc%3Dtopads&is_search=1&ob=23&management_type=1&keywords=asus+vivobook,28-01-2021
"ASUS VIVOBOOK 14 K413EA i3 1115G4 8GB 512GB SSD 14"" FHD IPS W10 OHS - INDIE BLACK",9.399.000,Bandung,1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AKaHsed6_UDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUst7bm-7q3OBUsthosJh6AJpo_Hpbm-srcHi6seFHmFiy3zwrfo5rM1i6s1domd7oAHhbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-o1hkgpVvuJ1h_jz081Y1u_o68BJa_jo-r7BWPchB3czfyfOZgMHa_SgsQuu2_fB-P7B2PfBiQ_BO3_-uq1Y2ZMOvucD7_32uP7Y_HACguJJa_VzZq1Oku9zvzJ1a_9jF81Y1zMxgucDF3jzuP7NEqfBHe72fyfODQMV9o3gqzOgR3A-Dq7BkQfBoe7BpZ37N83V9gICiQABRyf7Nqfz9_sCyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D692xzpBR3A-Dq7BkQfBoe7BpZ3NcHu2yZsuyHO-t3sooq1Y2ZSooH_xE_OzSHcgU8IooQ9xfgAod6c-JzSoiHfedgjP78B29gAxMzjNc1snhzBzD1MgZu_uUuRBjqcHpuS2-ZV2Fgc7Nq3Ua69-GH_Jdgjx6Hc-y8AxuHVgUuVu3_Ogc6121qO-iZs-c8Mzy_3PjQ3Fays-GPMUarfNy17BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjja_Sj7HjOJyRBoqjj7_BzVHjNkqR2-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqMoN_c2uo1NJypVvzJ1O_M2zH1YJe92-QsnYUiFiP9oBrBY2gmUEUsnibm-pg9opq3YX9fBjUstiHf2ZPMo21R-zPB2RZcYxrcJRoRu0P1Pc9OuD1sBJeB2H8Som61g5o3OeqA-_QjPI_J2qyS1W_RVC_suR_1hiQ9-ygAnOe7YePB2B_jOEeOYVZj251B2dHMhhPjOFPOuAPjNV1S-VgJBoPOuuQ1WuP3gf8J-NPpo6QOogQ3VN_7Uibm-xQcri6i-pPcOwqRoBgOYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6srDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6Ae7bAHN6AzPbm-X9foxQMz2gcV7guYxgIHi6srDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstpHsKFoiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpjdHiUDUsHN6AeibmUp6_KfUiFioAnF6mUDUsHfUBOY?keywords=asus+vivobook&t=desktop&is_search=1&page=8&ob=23&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fplanetcomputer%2Fasus-vivobook-14-k413ea-i3-1115g4-8gb-512gb-ssd-14-fhd-ips-w10-ohs-indie-black%3Fsrc%3Dtopads&src=search&management_type=2,28-01-2021
LAPTOP ASUS VIVOBOOK A409JA BV321TS Core i3-1005G1-1TB-4GB OHS W10 Ori - Grey,7.500.000,Jakarta Pusat,8,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopjdoAJpopyDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthosJh6AJpo_Hpbm-srcHi6sUaoiFiy3zwrfo5rM1i6s1fHZdO6AKhHaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoq_zN_OzSoJN1e_V68BJp_uz-HjNJ__V-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk19uozcPd_M2o81Nku92ozVBd_32-H1B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-QujO_OzS81N1e_uHuV-t_1zgPJNIZ9B61pn7_uzg8jh1Z_uou7gt_OzZq7N1e_ov17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PNyjrNHfgU8IooH_xE_OzSHMgU8IoouRxfgAod6cJp_MhqHRKdu_C3ZVzuujY3zsBcucWjyjtazS2j3JOSgcODHMUaZSgiHSoX3Vxd6cHp1SzMZIx11Buj_B-uouuyHchv1jgpQBBy_sVs81UayuxqPBBW69gx83zjZ3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_32sHjhkqp-oqjud_7z-8JNEu9PvzJ7aZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_32gHjhke9BvuVJF_jzV8JNEu_o68jJFZ3dFvZUDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUsok1Sgsquoa19gqP7x5y9CxopPOqRuIzBYuQVUNzJ-q_I2pesBcQpuW1cKa1fNIz7hG3M-Ob1Yhe1dOP7OHyMOa3ceFo1ov1Igqg1No8jowz12GQO-q8A-Dr9gorIPueRg6zu-az3z-_9Puu3Obu9uMPSxm89rp_MY_33Ox81YmUiFiy3hSUstirRzW9fWpg3PwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstRbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7omFp6_Kf9ZFiQBYsy3Njq3zxPcuwy3zpUstRbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHpUdHAyDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHN6AUibmUp6_K7UiFiHpjdoiUDUseFHAKibmUpoi-Pwe?ob=23&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fbakesfield-com%2Flaptop-asus-vivobook-a409ja-bv321ts-core-i3-1005g1-1tb-4gb-ohs-w10-ori-grey%3Fsrc%3Dtopads&src=search&t=desktop&management_type=2&is_search=1&page=8&keywords=asus+vivobook,28-01-2021
Laptop Asus Vivobook TP412FA 2in1 Touch i5 10210 20GB 512Ssd14.0FHD,12.699.000,Jakarta Utara,3,https://www.tokopedia.com/laptopgaming/laptop-asus-vivobook-tp412fa-2in1-touch-i5-10210-20gb-512ssd14-0fhd?whid=0,28-01-2021
Asus Vivobook Core i3-8145U/ Ram 4GB / 512ssd / MX250 2GB/W10/14FHD/FP,8.650.000,Jakarta Pusat,1,https://www.tokopedia.com/rackcomp/asus-vivobook-core-i3-8145u-ram-4gb-512ssd-mx250-2gb-w10-14fhd-fp?whid=0,28-01-2021
"ASUS VIVOBOOK 14 K413EQ i7-1165G7 8GB 512GB MX350 2GB 14"" FHD W10 OHS",13.999.000,Jakarta Pusat,2,https://www.tokopedia.com/hosanacomp/asus-vivobook-14-k413eq-i7-1165g7-8gb-512gb-mx350-2gb-14-fhd-w10-ohs?whid=0,28-01-2021
"LAPTOP ASUS VIVOBOOK A416JA I3-1005G1 4GB 512GB 14"" W10 KB BACKLIT OHS",8.300.000,Jakarta Pusat,1,https://www.tokopedia.com/ijokompu/laptop-asus-vivobook-a416ja-i3-1005g1-4gb-512gb-14-w10-kb-backlit-ohs?whid=0,28-01-2021
"ASUS VIVOBOOK A409FA-BV351T-BV352T I3-8145U-4GB-SSD 512GB-14""-WIN10",7.499.000,Jakarta Pusat,1,https://www.tokopedia.com/vistar518/asus-vivobook-a409fa-bv351t-bv352t-i3-8145u-4gb-ssd-512gb-14-win10?whid=0,28-01-2021
ASUS VIVOBOOK FLIP TM420IA RYZEN 5-4500U 8GB 512GB SSD WIN10 14FHD,12.600.000,Jakarta Pusat,2,https://www.tokopedia.com/ithouse/asus-vivobook-flip-tm420ia-ryzen-5-4500u-8gb-512gb-ssd-win10-14fhd?whid=0,28-01-2021
"LAPTOP ASUS VIVOBOOK K413FQ i7-10510U 8GB 512GB MX350 2GB 14"" FHD",15.500.000,Jakarta Pusat,1,https://www.tokopedia.com/yolincomp/laptop-asus-vivobook-k413fq-i7-10510u-8gb-512gb-mx350-2gb-14-fhd?whid=0,28-01-2021
ASUS Vivobook 14 F412DA RYZEN 7-3700U 8GB 512GB14FHD IPS SLATE GREY,10.505.000,Jakarta Selatan,1,https://www.tokopedia.com/bestofselleramba/asus-vivobook-14-f412da-ryzen-7-3700u-8gb-512gb14fhd-ips-slate-grey?whid=0,28-01-2021
Asus Vivobook TP412FA 2in1 Touch | i5 10210 8GB 512ssd W10 14FHD,11.599.000,Jakarta Utara,1,https://www.tokopedia.com/rexngo/asus-vivobook-tp412fa-2in1-touch-i5-10210-8gb-512ssd-w10-14fhd?whid=0,28-01-2021
Asus Vivobook E203Mah Celeron N4000 Ram 4GB HDD 500GB LED 12inch Win10,3.750.000,Bogor,1,https://www.tokopedia.com/21computer/asus-vivobook-e203mah-celeron-n4000-ram-4gb-hdd-500gb-led-12inch-win10?whid=0,28-01-2021
